s	U	lambda	mu0	mu1	mu2	mu3	theta0	theta1	theta2	theta3	transverse_min_eig
6.064054222008135042e-01	4.137987379620478023e-02	-8.524650031107521009e-02	3.155742778760522449e-01	3.328720249655349739e-01	3.228999617786774134e-01	2.305443436338235896e-01	1.129551607159522630e+00	1.191602984083554251e+00	1.154509445115032840e+00	8.242917394966939870e-01	3.578663925986114602e+00
6.123505733988607869e-01	4.086155713888695029e-02	-8.910954752521506317e-02	3.186630429000308351e-01	3.360329054570931895e-01	3.261340262965487513e-01	2.328592091699724642e-01	1.139049023709387987e+00	1.201265791229519486e+00	1.164443742703774820e+00	8.314059647369153039e-01	3.642664282505688522e+00
6.182957245969079585e-01	4.032045852369081640e-02	-9.290992221523074190e-02	3.217486507200642554e-01	3.391927545853956616e-01	3.293708377525723652e-01	2.351758744547788049e-01	1.148566947960117046e+00	1.210958677815400897e+00	1.174422179029866120e+00	8.385511078406665542e-01	3.708280377190730004e+00
6.242408757949551301e-01	3.975696177038390289e-02	-9.664383542407328775e-02	3.248311061245632292e-01	3.423515922100155984e-01	3.326103820232336750e-01	2.374943250902276093e-01	1.158107347271728038e+00	1.220683768029733773e+00	1.184446752541867598e+00	8.457285798751630335e-01	3.775564891774869203e+00
6.301860269930023017e-01	3.917147347489191578e-02	-1.003074131157384308e-01	3.279104138898542020e-01	3.455094372005328984e-01	3.358526454053236687e-01	2.398145474917306730e-01	1.167672232735497362e+00	1.230443228419266566e+00	1.194519509304473592e+00	8.529398278191036020e-01	3.844573053153323094e+00
6.361311781910494734e-01	3.856442353139155621e-02	-1.038966906497623133e-01	3.309865787343609922e-01	3.486663074581355937e-01	3.390976146429772187e-01	2.421365288810189420e-01	1.177263661846661424e+00	1.240239270959331508e+00	1.204642546090001876e+00	8.601863366720980952e-01	3.915362783234770383e+00
6.420763293890966450e-01	3.793626568810315458e-02	-1.074076069666232564e-01	3.340596052739233657e-01	3.518222199363350011e-01	3.423452769541676100e-01	2.444602572795119833e-01	1.186883741330097441e+00	1.250074156277365178e+00	1.214818013624357596e+00	8.674696316776200344e-01	3.987994859732669095e+00
6.480214805871439276e-01	3.728747813856914117e-02	-1.108359984607641679e-01	3.371294979781303547e-01	3.549771906607595007e-01	3.455956200567687486e-01	2.467857215022410400e-01	1.196534630130505539e+00	1.259950197042040809e+00	1.225048120000478580e+00	8.747912806687651033e-01	4.062533088834046957e+00
6.539666317851910993e-01	3.661856415034825396e-02	-1.141775925159858596e-01	3.401962611275383686e-01	3.581312347479910230e-01	3.488486321942853574e-01	2.491129111523930073e-01	1.206218542579602371e+00	1.269869761531544405e+00	1.235335134273300994e+00	8.821528965468292682e-01	4.139044490777448182e+00
6.599117829832382709e-01	3.593005273321470128e-02	-1.174280006758223471e-01	3.432598987716530825e-01	3.612843664234114405e-01	3.521043021613555757e-01	2.514418166165450219e-01	1.215937751753976448e+00	1.279835277395696691e+00	1.245681390251472509e+00	8.895561399035470940e-01	4.217599499475619851e+00
