trial,q_minus,flip_probability,input_sign_bias,output_sign_bias,contraction_factor,l1_coherence,measurement_bias,aligned_reference_bias
131,0.46208362730071484,0.12596535023431005,0.07583274539857032,0.056728148731849976,0.7480692995313799,0.7763675444321398,0.15046290484339606,0.7763675444321398
132,0.050525939523145116,0.4209936799627599,0.8989481209537098,0.14204516588188887,0.15801264007448024,0.5529565270933073,0.2940219627738395,0.5529565270933073
133,0.1434498551242237,0.24958931560049114,0.7131002897515526,0.3571358632043487,0.5008213687990177,0.8016752250925315,0.7895152370201537,0.8016752250925314
134,0.10017879940567599,0.08254805100183538,0.799642401188648,0.6676245577555467,0.8349038979963292,0.8513263584211543,0.34261179001434433,0.8513263584211544
135,0.17831208396101958,0.008376765391128638,0.6433758320779608,0.6325970152706822,0.9832464692177427,0.9916197727062258,0.7551330475915246,0.9916197727062258
136,0.10177819168534245,0.33274356575973646,0.7964436166293151,0.2664206387816774,0.3345128684805271,0.5531872512752826,0.37075166259175973,0.5531872512752826
137,0.20497220249799808,0.37281816010098245,0.5900555950040038,0.1500887124306375,0.2543636797980351,0.17190919709508137,0.12199238725344855,0.17190919709508137
138,0.4775811911834889,0.15037149084294,0.044837617633022187,0.0313530188143757,0.69925701831412,0.6476178309951938,0.3749901806916745,0.6476178309951938
139,0.22129983058510508,0.07681609023960506,0.5574003388297899,0.47176570937551876,0.8463678195207899,0.7889543451476869,0.2154977418855113,0.7889543451476868
140,0.07696142927987341,0.3894770088978407,0.8460771414402531,0.18702195275028294,0.2210459822043186,0.6082440961174292,0.5696772333479082,0.6082440961174292
141,0.1614711961551444,0.14847404349239335,0.6770576076897112,0.4760066463077553,0.7030519130152133,0.06641711293357555,0.058241989382802666,0.06641711293357555
142,0.20840258985620608,0.38328606538468735,0.5831948202875878,0.13613392424606907,0.2334278692306253,0.21667611230757275,0.20172020926600848,0.21667611230757278
143,0.44115709252922947,0.3914610576930395,0.11768581494154107,0.02554698775657511,0.21707788461392097,0.8954298756473439,0.8543335915544893,0.8954298756473439
144,0.16245077445420314,0.39117029910184037,0.6750984510915937,0.146941525018218,0.21765940179631926,0.9134278594777447,0.7714234276159453,0.9134278594777447
