replication,local_seed,ensemble,control_index,delay5_r2,nonlinear_prediction_r2,narma10_r2,parity3_accuracy
16,2693456709,isospectral_orientation,1,0.24903863211848976,0.7303236582304599,0.5838857174596708,0.9347457627118644
16,2693456709,isospectral_orientation,2,0.24740518880380669,0.7066999716731787,0.5787132767172762,0.9906779661016949
16,2693456709,isospectral_orientation,3,0.24895541525845433,0.6854777694254404,0.5911467746213684,0.9923728813559322
16,2693456709,isospectral_orientation,4,0.25394836088680317,0.7092342728093669,0.5868294329326007,0.9940677966101695
16,2693456709,isospectral_orientation,5,0.24152049745077542,0.6486432265566745,0.5873569041466955,0.9754237288135593
16,2693456709,symmetric_radius_matched,6,0.3568761806716354,0.9555844984827724,0.5990056535638654,0.7974576271186441
16,2693456709,symmetric_radius_matched,7,0.3621281808878841,0.9578321545730971,0.5660215768495926,0.8771186440677966
16,2693456709,symmetric_radius_matched,8,0.3728954362300908,0.9467915691380951,0.5847911055335316,0.902542372881356
16,2693456709,symmetric_radius_matched,9,0.44972884910766786,0.9412088709660058,0.5823351496637861,0.9364406779661016
16,2693456709,symmetric_radius_matched,10,0.4194180727546003,0.9342021084204026,0.6014195623542089,0.8762711864406779
16,2693456709,symmetric_radius_matched,11,0.5046614460939228,0.9568000237547866,0.5737826368460095,0.9584745762711865
16,2693456709,FIN,-1,0.2581638692571918,0.7014238235988006,0.5940380532372103,0.7745762711864407
17,2662777326,isospectral_orientation,0,0.1916090663029174,0.7082508611487464,0.5627130596807244,0.9889830508474576
17,2662777326,isospectral_orientation,1,0.18842602955918653,0.6731208693469605,0.553203323265024,0.9542372881355933
17,2662777326,isospectral_orientation,2,0.1925585854287516,0.6789937084162407,0.5500143953739196,0.9728813559322034
17,2662777326,isospectral_orientation,3,0.18842142113784577,0.6971954457657259,0.5368887571692709,0.9288135593220339
17,2662777326,isospectral_orientation,4,0.19136323213900952,0.687966856007348,0.5641980317522551,1.0
17,2662777326,isospectral_orientation,5,0.1885176681427947,0.6897391926871435,0.5701210563694197,0.9847457627118644
17,2662777326,symmetric_radius_matched,6,0.42077339278889114,0.9552369193342003,0.5584917019935716,0.9322033898305084
17,2662777326,symmetric_radius_matched,7,0.4138348262983147,0.9701017640630512,0.5462631466692521,0.8025423728813559
17,2662777326,symmetric_radius_matched,8,0.6837547668372081,0.9562035153995907,0.5405784892341939,0.8669491525423729
17,2662777326,symmetric_radius_matched,9,0.3624133741440909,0.9477158721462313,0.48108069293258515,0.9940677966101695
17,2662777326,symmetric_radius_matched,10,0.5569089495184797,0.9541481705497372,0.5399778872478739,0.9067796610169492
17,2662777326,symmetric_radius_matched,11,0.4554367609617008,0.9522330612449269,0.46747315832857694,0.8677966101694915
17,2662777326,FIN,-1,0.19185344672059745,0.691395942670104,0.5689710136388634,0.7533898305084745
18,3849852848,isospectral_orientation,0,0.2209866850058213,0.7177017826058292,0.6454117327832114,0.9796610169491525
18,3849852848,isospectral_orientation,1,0.21859764191451547,0.6953960894863727,0.6438596860297434,0.9932203389830508
18,3849852848,isospectral_orientation,2,0.21212143918892057,0.6646947949430667,0.6435041298707208,0.940677966101695
18,3849852848,isospectral_orientation,3,0.2176839145973276,0.7041591898280968,0.636355487111036,0.9788135593220338
18,3849852848,isospectral_orientation,4,0.22797919146030932,0.7194026361475837,0.6326241945889579,0.9872881355932204
18,3849852848,isospectral_orientation,5,0.21101278896324904,0.6843639837887789,0.6196970116695035,0.985593220338983
18,3849852848,symmetric_radius_matched,6,0.696629936639026,0.9639446798545886,0.6029092762366718,1.0
18,3849852848,symmetric_radius_matched,7,0.4188810765032419,0.9547007360014731,0.6283490988590317,0.8601694915254238
18,3849852848,symmetric_radius_matched,8,0.5488975334774611,0.9437634558931067,0.6229222112007353,0.9220338983050848
18,3849852848,symmetric_radius_matched,9,0.7187625429002042,0.9583798294669665,0.614228495100448,0.9864406779661017
18,3849852848,symmetric_radius_matched,10,0.32678564604772764,0.9145194620597356,0.5532898361245853,0.9847457627118644
18,3849852848,symmetric_radius_matched,11,0.47681949854355055,0.945878668438173,0.6039920663894183,0.9101694915254237
18,3849852848,FIN,-1,0.22281360405727568,0.6969304938509137,0.6461032894403682,0.7516949152542373
19,697096573,isospectral_orientation,0,0.25521560478732397,0.7368546546392527,0.563777011766311,0.9940677966101695
19,697096573,isospectral_orientation,1,0.259366844025369,0.724883690413258,0.5834794798773905,0.9940677966101695
19,697096573,isospectral_orientation,2,0.27278528728609175,0.7036987523110481,0.598287966182102,0.988135593220339
19,697096573,isospectral_orientation,3,0.2691938466857339,0.6800257392478147,0.5861724828013294,0.9711864406779661
19,697096573,isospectral_orientation,4,0.2743710371576946,0.6908245117565466,0.5786593547531889,0.985593220338983
19,697096573,isospectral_orientation,5,0.27306913579464387,0.6701510105150955,0.5986299205474618,0.938135593220339
19,697096573,symmetric_radius_matched,6,0.4164700155548371,0.9556421772492746,0.5978440643707285,0.7338983050847457
