relative_noise,repetition,maximum_relative_pole_error,maximum_relative_weight_error,relative_curve_rmse,minimum_fitted_pole_separation
1e-06,46,0.1689682472837898,3.548770908820072,1.022752057311763e-06,0.1736666737145376
1e-06,47,0.17003192670432665,3.6110297921788628,1.0589825339717854e-06,0.16898907156702703
1e-06,48,0.04004712086146519,0.8554844326167541,1.089277728033051e-06,0.30764971912816086
1e-06,49,0.17213837205849578,3.6723043725342306,1.149524624128593e-06,0.16604853903487227
1e-06,50,0.054719059583638714,1.142263822663732,9.144607387388229e-07,0.30190725268417284
1e-06,51,0.1780980033349474,3.6487945078837347,9.799169122745364e-07,0.1818135705182644
1e-06,52,0.043885299008522546,0.9744959099439067,9.126974030352299e-07,0.3008326338516434
1e-06,53,0.06742682890457119,1.3200077557263723,9.423392382087092e-07,0.2787552602852057
1e-06,54,0.17385910170653748,3.7599352202910796,9.916092265541052e-07,0.15960437762423574
1e-06,55,0.17946500817997116,3.9231722895656485,9.385702314357948e-07,0.15275128570245844
1e-06,56,0.03695573407626696,0.6937376239988057,8.388923198158224e-07,0.3211968234334439
1e-06,57,0.04967392228897348,0.8361104232324952,1.0537459397270199e-06,0.29887753636108827
1e-06,58,0.037857632517041634,0.7117325503779682,1.0144095005009058e-06,0.32044042714191456
1e-06,59,0.07279455672251389,1.594706734269106,9.830537877585067e-07,0.29017301274853624
0.0001,0,0.166045253912173,0.02230067476835614,9.306248714978645e-05,0.00014686035254718455
0.0001,1,0.5303524744546074,1.4744070137589291,9.841024629664916e-05,0.6682032965881046
0.0001,2,0.5303520225763635,4.555899351260787,0.00011057701435899492,0.43530807760118573
0.0001,3,0.35041442993240135,0.590534660643091,0.00010150218573600671,0.3153080629404976
0.0001,4,0.35041444538418764,0.7886636521951289,0.00012558799190629395,0.3525847313517487
0.0001,5,0.47170894957357423,1.13198375780496,7.977878606359529e-05,0.6959455054237501
0.0001,6,0.3504144468977969,0.892810810721578,8.41633897065686e-05,0.39399812368958087
