times,minimum_fisher_eigenvalue,condition_number,cramer_rao_sd_log_scale,cramer_rao_sd_quadratic_clock,cramer_rao_sd_cubic_clock
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.8863636363636364]",10.349325872170485,930.0036492695127,0.044060145412289226,0.22808832690012742,0.20928361120780659
"[0.05, 0.15454545454545454, 0.3636363636363636, 0.9909090909090909]",12.680313195707964,817.9703017524683,0.04322100828275075,0.21465257162364715,0.17829547082941455
"[0.05, 0.15454545454545454, 0.3636363636363636, 1.0954545454545455]",14.873498948527178,758.1702032251123,0.042585442988074804,0.20470594994711105,0.15561579185510407
"[0.05, 0.15454545454545454, 0.3636363636363636, 1.2]",16.918495244851066,731.2782550347487,0.04208536683309933,0.19701546260384745,0.1382340810716312
"[0.05, 0.15454545454545454, 0.46818181818181814, 0.5727272727272728]",1.869263836915397,4573.23649970542,0.0529511627699509,0.4119819678454657,0.6054930829549809
"[0.05, 0.15454545454545454, 0.46818181818181814, 0.6772727272727272]",5.6042108788207035,1622.147103615224,0.044485140312271944,0.26724901937855866,0.3282230762946886
"[0.05, 0.15454545454545454, 0.46818181818181814, 0.7818181818181819]",10.315295248706107,937.5418308112683,0.041544918595554585,0.21458583668939718,0.22575100291410857
"[0.05, 0.15454545454545454, 0.46818181818181814, 0.8863636363636364]",15.205248597217794,679.0023583652861,0.04000367640824683,0.1877695566022462,0.17371083475822188
"[0.05, 0.15454545454545454, 0.46818181818181814, 0.9909090909090909]",19.947364176947122,555.8159337567387,0.039018168099015996,0.17132650681571224,0.14214763554224422
"[0.05, 0.15454545454545454, 0.46818181818181814, 1.0954545454545455]",24.42352934747197,491.1079672960852,0.03831814744734724,0.16008056925608138,0.12082838799405918
"[0.05, 0.15454545454545454, 0.46818181818181814, 1.2]",28.59792325496305,457.3714592390177,0.037788626539904724,0.15183422136204935,0.1053747878610686
"[0.05, 0.15454545454545454, 0.5727272727272728, 0.6772727272727272]",2.7768435039403045,3500.1274326247276,0.049672621073729814,0.36958641631036,0.47305762795391554
"[0.05, 0.15454545454545454, 0.5727272727272728, 0.7818181818181819]",8.519474093320916,1214.3194653157043,0.0411424635947331,0.23060172645187832,0.25388726580399484
"[0.05, 0.15454545454545454, 0.5727272727272728, 0.8863636363636364]",15.988033011475592,690.565557339517,0.038376950200600814,0.1805506387269466,0.17287337389103716
"[0.05, 0.15454545454545454, 0.5727272727272728, 0.9909090909090909]",23.832214014611697,496.7355967881579,0.036997815093057364,0.15559331491166165,0.13205307297005023
"[0.05, 0.15454545454545454, 0.5727272727272728, 1.0954545454545455]",31.43328003709756,406.27399025311126,0.03613955638345213,0.14059062486626764,0.10754997507633841
"[0.05, 0.15454545454545454, 0.5727272727272728, 1.2]",38.568635963904704,359.57392521246567,0.03553759737953664,0.13048432521504774,0.09115961464850494
"[0.05, 0.15454545454545454, 0.6772727272727272, 0.7818181818181819]",3.6766582035434077,3002.925243240295,0.04766259396435443,0.34488140204578854,0.390803312214776
"[0.05, 0.15454545454545454, 0.6772727272727272, 0.8863636363636364]",11.410901756695825,1033.1744211688476,0.03903366119589494,0.20949323409523074,0.20913048997342884
"[0.05, 0.15454545454545454, 0.6772727272727272, 0.9909090909090909]",21.744916890755782,581.0883527645889,0.0363532780332933,0.16058369243174947,0.1415767404381284
"[0.05, 0.15454545454545454, 0.6772727272727272, 1.0954545454545455]",32.797217959814226,414.94148516617565,0.03507034626652852,0.13640836728959457,0.10756346651169092
"[0.05, 0.15454545454545454, 0.6772727272727272, 1.2]",43.58718781330154,338.1112421241011,0.03429355014440199,0.12206022500897609,0.08723792881402294
"[0.05, 0.15454545454545454, 0.7818181818181819, 0.8863636363636364]",4.49862288537503,2798.494420487971,0.046420446544819235,0.33023115948456166,0.335552169668715
"[0.05, 0.15454545454545454, 0.7818181818181819, 0.9909090909090909]",14.029456215261066,961.8024754039276,0.0376381036289916,0.1969474672870336,0.17974922223525014
"[0.05, 0.15454545454545454, 0.7818181818181819, 1.0954545454545455]",27.066738398852063,536.4216577511028,0.034977424763758404,0.14833956233506684,0.12132657467447203
"[0.05, 0.15454545454545454, 0.7818181818181819, 1.2]",41.30293307722034,379.91714084009715,0.03374484652176827,0.12434185549160912,0.091833279146736
"[0.05, 0.15454545454545454, 0.8863636363636364, 0.9909090909090909]",5.202910762006156,2773.2510094797303,0.0456802327236609,0.32181960333086085,0.29628325858269006
"[0.05, 0.15454545454545454, 0.8863636363636364, 1.0954545454545455]",16.235201823309012,955.5871529779718,0.03669370046216709,0.18959179735175205,0.1592454089323732
"[0.05, 0.15454545454545454, 0.8863636363636364, 1.2]",31.63678230827166,529.1280624985716,0.034005147576659685,0.1407703990164613,0.10736623512468275
"[0.05, 0.15454545454545454, 0.9909090909090909, 1.0954545454545455]",5.774482484073996,2876.274357773706,0.04528682361943394,0.3175203330885402,0.2671427072671389
"[0.05, 0.15454545454545454, 0.9909090909090909, 1.2]",17.976216223147016,995.3880600982452,0.03605478760748668,0.18560521672454316,0.1442689225490973
"[0.05, 0.15454545454545454, 1.0954545454545455, 1.2]",6.215444210547922,3083.472362209887,0.045142459645894355,0.3160444508418008,0.24475716245946208
