experiment,time,control,completion_coordinate,estimated_derivative
binary,6.04,0.18,0.4579871319708548,-0.08596109960855025
binary,6.08,0.18,0.45454868798651277,-0.0810627140648279
binary,6.12,0.56,0.45130617942391965,0.12619755916796482
binary,6.16,0.56,0.45635408179063824,0.12786886441880363
binary,6.2,0.56,0.4614688363673904,0.1218696277907716
binary,6.24,0.56,0.46634362147902125,0.1181653999584989
binary,6.28,0.56,0.4710702374773612,0.11928208401310314
binary,6.32,0.56,0.47584152083788533,0.11273002157657086
binary,6.36,0.56,0.48035072170094817,0.11648240769234208
binary,6.4,0.56,0.48501001800864185,0.10825657063205929
binary,6.44,0.56,0.4893402808339242,0.10113874118446303
binary,6.48,0.56,0.49338583048130275,0.10271674807059428
binary,6.5200000000000005,0.56,0.4974945004041265,0.11717214547570104
binary,6.5600000000000005,0.56,0.5021813862231546,0.09692451573312111
binary,6.6000000000000005,0.56,0.5060583668524794,0.1036216108892013
binary,6.640000000000001,0.56,0.5102032312880475,0.10290779906081682
binary,6.68,0.56,0.5143195432504801,0.09320665843774445
binary,6.72,0.56,0.5180478095879899,0.0818762351474378
binary,6.76,0.56,0.5213228589938874,0.1001686587547318
binary,6.8,0.18,0.5253296053440767,-0.11629431209722874
binary,6.84,0.18,0.5206778328601875,-0.12009049329781973
binary,6.88,0.18,0.5158742131282748,-0.1199284549557117
binary,6.92,0.18,0.5110770749300463,-0.10233988285342499
binary,6.96,0.18,0.5069834796159093,-0.11098934338686917
binary,7.0,0.18,0.5025439058804345,-0.11025787308815149
binary,7.04,0.18,0.49813359095690846,-0.10735325574944138
binary,7.08,0.18,0.4938394607269308,-0.09810467436341536
binary,7.12,0.18,0.4899152737523942,-0.10741326292877801
binary,7.16,0.18,0.48561874323524307,-0.085377063454313
binary,7.2,0.18,0.48220366069707055,-0.10601753015855725
binary,7.24,0.18,0.47796295949072826,-0.09778197025591684
binary,7.28,0.18,0.4740516806804916,-0.08775689817401983
binary,7.32,0.18,0.4705414047535308,-0.09632173597398652
binary,7.36,0.18,0.46668853531457133,-0.09081557275995855
binary,7.4,0.18,0.463055912404173,-0.08225332592665807
binary,7.44,0.18,0.45976577936710666,-0.08484167095019618
binary,7.48,0.56,0.4563721125290988,0.1170117760354944
binary,7.5200000000000005,0.56,0.4610525835705186,0.12386872117587794
binary,7.5600000000000005,0.56,0.4660073324175537,0.11750242974726405
binary,7.6000000000000005,0.56,0.47070742960744427,0.11699941236268246
binary,7.640000000000001,0.56,0.47538740610195157,0.1261727753245706
binary,7.68,0.56,0.4804343171149344,0.10949951678442815
binary,7.72,0.56,0.4848142977863115,0.10246252740736261
binary,7.76,0.56,0.488912798882606,0.11445583817812632
binary,7.8,0.56,0.4934910324097311,0.1030545693118376
binary,7.84,0.56,0.4976132151822046,0.10353770990467193
binary,7.88,0.56,0.5017547235783915,0.10285815065480541
binary,7.92,0.56,0.5058690496045837,0.10508004631409884
binary,7.96,0.56,0.5100722514571476,0.09894711389064059
binary,8.0,0.56,0.5140301360127733,0.0844792762241281
binary,8.040000000000001,0.56,0.5174093070617384,0.11220667984759847
binary,8.08,0.56,0.5218975742556423,0.0832585786555734
binary,8.120000000000001,0.56,0.5252279174018653,0.08884051394718873
binary,8.16,0.18,0.5287815379597528,-0.1249118486690598
binary,8.2,0.18,0.5237850640129904,-0.11267902365388327
binary,8.24,0.18,0.5192779030668351,-0.12173959182137095
binary,8.28,0.18,0.5144083193939802,-0.1108602824792082
