uses,survival_probability,coherence_factor,fraction_of_ideal_threshold,time_per_use,product_erasure_lower,ghz_lower,best_feasible_lower,adaptive_hybrid_upper,certificate_gap
1,0.95,0.7,0.75,0.5397277605040419,0.6143798891200056,0.6143798891200056,0.6143798891200056,0.6143798891200056,0.0
1,0.95,0.7,1.0,0.7196370140053893,0.6649999999999999,0.6649999999999999,0.6649999999999999,0.6649999999999999,0.0
1,0.95,0.9,0.25,0.17990925350134732,0.32719433467215175,0.32719433467215175,0.32719433467215175,0.32719433467215175,0.0
1,0.95,0.9,0.5,0.35981850700269463,0.6045762979144981,0.6045762979144981,0.6045762979144981,0.6045762979144981,0.0
1,0.95,0.9,0.75,0.5397277605040419,0.7899170002971501,0.7899170002971502,0.7899170002971502,0.7899170002971502,0.0
1,0.95,0.9,1.0,0.7196370140053893,0.855,0.855,0.855,0.855,0.0
1,0.95,1.0,0.25,0.17990925350134732,0.3635492607468353,0.3635492607468353,0.3635492607468353,0.3635492607468353,0.0
1,0.95,1.0,0.5,0.35981850700269463,0.67175144212722,0.67175144212722,0.67175144212722,0.67175144212722,0.0
1,0.95,1.0,0.75,0.5397277605040419,0.8776855558857224,0.8776855558857224,0.8776855558857224,0.8776855558857224,0.0
1,0.95,1.0,1.0,0.7196370140053893,0.95,0.95,0.95,0.95,0.0
1,1.0,0.7,0.25,0.17990925350134732,0.26787840265556284,0.26787840265556284,0.26787840265556284,0.26787840265556284,0.0
1,1.0,0.7,0.5,0.35981850700269463,0.4949747468305832,0.4949747468305832,0.4949747468305832,0.4949747468305832,0.0
1,1.0,0.7,0.75,0.5397277605040419,0.6467156727579007,0.6467156727579007,0.6467156727579007,0.6467156727579007,0.0
1,1.0,0.7,1.0,0.7196370140053893,0.7,0.7,0.7,0.7,0.0
1,1.0,0.9,0.25,0.17990925350134732,0.3444150891285808,0.3444150891285808,0.3444150891285808,0.3444150891285808,0.0
1,1.0,0.9,0.5,0.35981850700269463,0.6363961030678927,0.6363961030678927,0.6363961030678927,0.6363961030678927,0.0
1,1.0,0.9,0.75,0.5397277605040419,0.831491579260158,0.831491579260158,0.831491579260158,0.831491579260158,0.0
1,1.0,0.9,1.0,0.7196370140053893,0.9,0.9,0.9,0.9,0.0
1,1.0,1.0,0.25,0.17990925350134732,0.3826834323650898,0.3826834323650898,0.3826834323650898,0.3826834323650898,0.0
1,1.0,1.0,0.5,0.35981850700269463,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.7071067811865475,0.0
1,1.0,1.0,0.75,0.5397277605040419,0.9238795325112867,0.9238795325112867,0.9238795325112867,0.9238795325112867,0.0
1,1.0,1.0,1.0,0.7196370140053893,1.0,1.0,1.0,1.0,0.0
2,0.7,0.7,0.25,0.08995462675067366,0.13852512827531324,0.09188229211085802,0.13852512827531324,0.19118851557580566,0.052663387300492415
2,0.7,0.7,0.5,0.17990925350134732,0.2688268692248834,0.16977633816289,0.2688268692248834,0.37502976371778796,0.10620289449290454
2,0.7,0.7,0.75,0.26986388025202096,0.38382518110757585,0.22182347575595987,0.38382518110757585,0.5444588283592101,0.16063364725163426
2,0.7,0.7,1.0,0.35981850700269463,0.4785118289915654,0.24009999999999992,0.4785118289915654,0.6929646455628165,0.21445281657125104
2,0.7,0.9,0.25,0.08995462675067366,0.18850219867345913,0.15188705430570412,0.18850219867345913,0.2458138057403216,0.057311607066862474
2,0.7,0.9,0.5,0.17990925350134732,0.364136191567847,0.28065068145294064,0.364136191567847,0.4821811247800131,0.11804493321216614
2,0.7,0.9,0.75,0.26986388025202096,0.5160172388363324,0.3666877864537297,0.5160172388363324,0.7000184936046987,0.18400125476836626
2,0.7,0.9,1.0,0.35981850700269463,0.6369117175325116,0.3969,0.6369117175325116,0.8909545442950498,0.2540428267625382
2,0.7,1.0,0.25,0.08995462675067366,0.21583610495666486,0.18751488185889398,0.21583610495666486,0.2731264508225795,0.057290345865914666
2,0.7,1.0,0.5,0.17990925350134732,0.41601967940053136,0.3464823227814082,0.41601967940053136,0.5357568053111257,0.11973712591059432
2,0.7,1.0,0.75,0.26986388025202096,0.5873781909724363,0.45270097093053047,0.5873781909724363,0.777798326227443,0.19042013525500678
2,0.7,1.0,1.0,0.35981850700269463,0.7213372959527249,0.48999999999999994,0.7213372959527249,0.9899494936611664,0.26861219770844147
2,0.85,0.7,0.25,0.08995462675067366,0.15450585600611955,0.13547950214305088,0.15450585600611955,0.2321574831991926,0.07765162719307306
2,0.85,0.7,0.5,0.17990925350134732,0.2987982002876741,0.2503334782095674,0.2987982002876741,0.4553932845144568,0.1565950842267827
2,0.85,0.7,0.75,0.26986388025202096,0.42427590353964134,0.32707645149730824,0.42427590353964134,0.6611285772933265,0.23685267375368518
2,0.85,0.7,1.0,0.35981850700269463,0.5252485798717283,0.3540249999999999,0.5252485798717283,0.8414570696119914,0.31620848974026305
2,0.85,0.9,0.25,0.08995462675067366,0.21398281287690454,0.22395591170585966,0.22395591170585966,0.29848819268467625,0.07453228097881659
2,0.85,0.9,0.5,0.17990925350134732,0.4114496020373832,0.41381656601989725,0.41381656601989725,0.5855056515185874,0.1716890854986901
2,0.85,0.9,0.75,0.26986388025202096,0.5787144839278593,0.5406773994139178,0.5787144839278593,0.8500224565199913,0.271307972592132
2,0.85,0.9,1.0,0.35981850700269463,0.7072898194277975,0.585225,0.7072898194277975,1.0,0.29271018057220255
2,0.85,1.0,0.25,0.08995462675067366,0.24717951704349278,0.27648877988377735,0.27648877988377735,0.33165354742741804,0.05516476754364069
2,0.85,1.0,0.5,0.17990925350134732,0.47401066467288844,0.5108846494072805,0.5108846494072805,0.6505618350206526,0.13967718561337206
2,0.85,1.0,0.75,0.26986388025202096,0.6636968497624207,0.6675029622394046,0.6675029622394046,0.9444693961333237,0.27696643389391906
